,Overall Rank ,City,Total Score ,Emotional & Physical Well-Being ,Income & Employment ,Community & Environment ,CSA Code_x,index,CBSA,Metropolitan Division Code,CSA Code_y,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
75,76,"Los Angeles, CA",56.02,56,81,129,,1000.0,31080.0,11244.0,348.0,Metropolitan Statistical Area,"Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach, CA",Orange County,California,6.0,59.0,Central
76,77,"Des Moines, IA",55.96,55,92,136,,511.0,19780.0,,218.0,Metropolitan Statistical Area,,"Des Moines-West Des Moines-Ames, IA",Dallas County,Iowa,19.0,49.0,Central
77,78,"Pittsburgh, PA",55.47,95,13,59,,1357.0,38300.0,,430.0,Metropolitan Statistical Area,,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",Allegheny County,Pennsylvania,42.0,3.0,Central
78,79,"Long Beach, CA",55.46,59,123,112,,1000.0,31080.0,11244.0,348.0,Metropolitan Statistical Area,"Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach, CA",Orange County,California,6.0,59.0,Central
79,80,"Manchester, NH",55.28,106,65,12,,1042.0,31700.0,,148.0,Metropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH",Hillsborough County,New Hampshire,33.0,11.0,Central
80,81,"Missoula, MT",55.05,73,37,133,,1131.0,33540.0,,,Metropolitan Statistical Area,,,Mineral County,Montana,30.0,61.0,Outlying
81,82,"Mesa, AZ",55.05,84,89,62,,1346.0,38060.0,,429.0,Metropolitan Statistical Area,,"Phoenix-Mesa, AZ",Maricopa County,Arizona,4.0,13.0,Central
82,83,"Ontario, CA",54.97,104,32,35,,1456.0,40140.0,,348.0,Metropolitan Statistical Area,,"Los Angeles-Long Beach, CA",Riverside County,California,6.0,65.0,Central
83,84,"St. Petersburg, FL",54.93,90,20,94,,1709.0,45300.0,41304.0,,Metropolitan Statistical Area,"St. Petersburg-Clearwater-Largo, FL",,Pinellas County,Florida,12.0,103.0,Central
84,85,"Providence, RI",54.92,103,6,73,,,,,,,,,,,,,
85,86,"Hialeah, FL",54.84,68,137,88,,,,,,,,,,,,,
86,87,"Moreno Valley, CA",54.79,96,82,29,,,,,,,,,,,,,
87,88,"Port St. Lucie, FL",54.61,123,54,4,,1393.0,38940.0,,370.0,Metropolitan Statistical Area,,"Miami-Port St. Lucie-Fort Lauderdale, FL",Martin County,Florida,12.0,85.0,Central
88,89,"Riverside, CA",54.6,89,16,108,,1456.0,40140.0,,348.0,Metropolitan Statistical Area,,"Los Angeles-Long Beach, CA",Riverside County,California,6.0,65.0,Central
89,90,"Cheyenne, WY",54.5,78,60,121,,339.0,16940.0,,,Metropolitan Statistical Area,,,Laramie County,Wyoming,56.0,21.0,Central
90,91,"Warwick, RI",54.3,67,134,143,,,,,,,,,,,,,
91,92,"Fontana, CA",54.27,105,61,33,,,,,,,,,,,,,
92,93,"Reno, NV",53.4,100,17,97,,1426.0,39900.0,,456.0,Metropolitan Statistical Area,,"Reno-Carson City-Gardnerville Ranchos, NV-CA",Lyon County,Nevada,32.0,19.0,Outlying
93,94,"Irving, TX",53.23,98,53,84,,,,,,,,,,,,,
